,match_id,PersonalIncome,HouseholdIncome,age,numkids,NumberInHousehold,DoInStage23-ContactlessDoor,DoInStage23-CurbsidePickup,DoInStage23-InStorePickup,DoInStage23-VisitRetail,DoInStage23-VisitRestaurant,PastYear-ECommerce-Frequency-PreparedFood,PastYear-ECommerce-Frequency-Groceries,PastYear-ECommerce-Frequency-OtherFood,PastYear-ECommerce-Frequency-PaperCleaning,PastYear-ECommerce-Frequency-Clothing,PastYear-ECommerce-Frequency-HomeOffice,PastYear-ECommerce-Frequency-Medication,PastYear-ECommerce-Frequency-ChildcareItems,May-InStore-Trips-PreparedFood,May-InStore-Trips-Groceries,May-InStore-Trips-OtherFood,May-InStore-Trips-PaperCleaning,May-InStore-Trips-Clothing,May-InStore-Trips-HomeOffice,May-InStore-Trips-Medication,May-InStore-Trips-ChildcareItems,May-InStore-Frequency-PreparedFood,May-InStore-Frequency-Groceries,May-InStore-Frequency-OtherFood,May-InStore-Frequency-PaperCleaning,May-InStore-Frequency-Clothing,May-InStore-Frequency-HomeOffice,May-InStore-Frequency-Medication,May-InStore-Frequency-ChildcareItems,May-ECommerce-Orders-PreparedFood,May-ECommerce-Orders-Groceries,May-ECommerce-Orders-OtherFood,May-ECommerce-Orders-PaperCleaning,May-ECommerce-Orders-Clothing,May-ECommerce-Orders-HomeOffice,May-ECommerce-Orders-Medication,May-ECommerce-Orders-ChildcareItems,May-ECommerce-Frequency-PreparedFood,May-ECommerce-Frequency-Groceries,May-ECommerce-Frequency-OtherFood,May-ECommerce-Frequency-PaperCleaning,May-ECommerce-Frequency-Clothing,May-ECommerce-Frequency-HomeOffice,May-ECommerce-Frequency-Medication,May-ECommerce-Frequency-ChildcareItems
2838,0,"$25,000 - $49,999","$25,000 - $49,999",25 - 34,0,2.0,4,4,4,4,4,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response,No Response,No Response,No Response,0,2,0,0,0,0,1,0,Less than 1 time per week,No Response,Almost never,Less than 1 time per week,Less than 1 time per week,Almost never,No Response,Almost never,0,2,0,0,0,0,1,0,Less than 1 time per week,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2839,1,"$50,000 - $74,999",No Response,55 - 59,0,1.0,5,1,3,5,3,About 1 time per week,Almost never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Never,2,1,0,0,0,0,1,0,No Response,No Response,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,No Response,Never,0,0,0,0,1,0,1,0,Almost never,Almost never,Almost never,Almost never,No Response,Less than 1 time per month,No Response,Never
2840,2,"$10,000 - $14,999",No Response,55 - 59,0,1.0,3,3,3,3,3,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,6,0,0,0,0,6,0,Never,No Response,Never,About 1 time per week,Less than 1 time per week,About 1 time per week,No Response,Never,0,0,0,0,0,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never
2841,3,"$100,000 - $149,999","$100,000 - $149,999",45 - 54,2,4.0,5,5,5,5,5,About 1 time per week,Never,Never,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Never,4,2,0,2,0,0,2,0,No Response,No Response,Less than 1 time per week,No Response,Less than 1 time per week,Less than 1 time per week,No Response,Never,2,0,0,0,0,2,2,0,No Response,Almost never,Never,Less than 1 time per month,Less than 1 time per month,No Response,No Response,Never
2842,4,"$100,000 - $149,999","$100,000 - $149,999",25 - 34,0,2.0,5,5,4,2,2,Less than 1 time per month,Never,Never,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Never,2,1,0,0,0,0,0,0,No Response,No Response,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Never,2,0,0,0,0,0,1,0,No Response,Never,Never,Never,Never,Never,No Response,Never
2843,5,"$100,000 - $149,999",No Response,25 - 34,0,1.0,2,2,1,5,5,About 1 time per week,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Never,2,2,0,0,0,0,0,0,No Response,No Response,Almost never,Less than 1 time per week,Never,Never,Less than 1 time per week,Never,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2844,6,"$100,000 - $149,999","$100,000 - $149,999",55 - 59,0,2.0,5,5,5,2,2,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Never,Never,0,0,0,0,0,0,0,0,About 1 time per week,About 1 time per week,Almost never,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,Never,0,1,0,1,0,0,0,0,About 1 time per week,No Response,Almost never,No Response,Less than 1 time per month,Less than 1 time per month,Never,Never
2845,7,"$10,000 - $14,999","$75,000 - $99,999",25 - 34,1,4.0,5,4,2,2,2,Less than 1 time per week,Almost never,Almost never,Never,Almost never,Never,Never,Almost never,0,2,0,0,0,0,2,0,About 1 time per week,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Almost never,No Response,About 1 time per week,1,0,0,0,0,0,0,2,No Response,Never,Never,Almost never,Almost never,Never,Never,No Response
2846,8,"$100,000 - $149,999","$150,000 - $199,999",45 - 54,2,4.0,2,2,2,2,2,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,About 1 time per week,Less than 1 time per week,About 1 time per week,Less than 1 time per month,2,2,0,2,0,-9998,2,0,No Response,No Response,About 1 time per week,No Response,About 1 time per week,No Response,No Response,Less than 1 time per month,1,0,0,0,0,0,1,0,No Response,About 1 time per week,About 1 time per week,Less than 1 time per week,About 1 time per week,About 1 time per week,No Response,Less than 1 time per month
2847,9,Prefer not to answer,No Response,65 - 74,0,1.0,4,4,3,3,3,Never,Never,Never,Almost never,Never,Less than 1 time per month,Never,Never,-9998,2,-9998,4,0,0,0,0,No Response,No Response,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,1,0,2,0,0,1,0,0,No Response,Less than 1 time per week,No Response,Less than 1 time per month,Almost never,No Response,Never,Never
2848,10,"$100,000 - $149,999","$100,000 - $149,999",35 - 44,0,2.0,1,1,1,4,5,Less than 1 time per week,2 - 3 times per week,Never,Less than 1 time per month,About 1 time per week,Almost never,Less than 1 time per month,Never,0,4,0,0,0,0,0,0,Less than 1 time per week,No Response,Never,Less than 1 time per month,Less than 1 time per week,Almost never,Less than 1 time per month,Never,0,0,0,0,2,0,1,-9998,Almost never,Almost never,Never,Less than 1 time per month,No Response,Never,No Response,No Response
2849,11,"$25,000 - $49,999",No Response,65 - 74,0,1.0,1,4,4,5,2,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,2,0,0,0,0,0,0,About 1 time per week,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,Almost never,0,0,0,0,0,0,0,0,Never,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Never,Never
2850,12,"$50,000 - $74,999","$50,000 - $74,999",45 - 54,2,4.0,5,5,3,3,2,Never,Never,Never,Never,Never,Never,Never,Never,0,4,0,0,0,0,0,0,Never,No Response,Never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Almost never,-9998,2,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2851,13,Prefer not to answer,Prefer not to answer,75 - 84,0,2.0,4,4,2,4,3,Less than 1 time per month,Never,Never,Less than 1 time per month,Almost never,Almost never,Almost never,No Response,0,2,0,0,0,0,0,0,No Response,No Response,About 1 time per week,No Response,No Response,No Response,No Response,No Response,-9998,1,1,0,0,0,0,0,No Response,No Response,No Response,Less than 1 time per month,No Response,No Response,Less than 1 time per month,No Response
2852,14,Prefer not to answer,No Response,60 - 64,0,1.0,4,4,4,4,1,Never,Never,Never,Never,Less than 1 time per month,Never,Less than 1 time per month,Never,-9998,1,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2853,15,"$100,000 - $149,999","$100,000 - $149,999",60 - 64,0,2.0,5,2,2,2,2,About 1 time per week,Less than 1 time per week,About 1 time per week,No Response,No Response,No Response,About 1 time per week,No Response,2,4,-9998,-9998,-9998,-9998,2,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,2,2,-9998,1,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2854,16,"$15,000 - $24,999","$200,000 or more",20 - 24,0,3.0,5,5,4,2,1,Less than 1 time per month,Never,Almost never,Almost never,Less than 1 time per month,Almost never,Almost never,Never,2,6,0,0,0,0,0,0,No Response,No Response,Never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per week,Less than 1 time per week,Never,1,2,0,0,0,0,0,0,No Response,No Response,Almost never,Never,Less than 1 time per month,Almost never,Almost never,Never
2855,17,"$50,000 - $74,999",No Response,60 - 64,0,1.0,4,4,4,5,5,Less than 1 time per week,Almost never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,Never,4,8,2,0,0,0,0,0,No Response,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,2,0,0,-9998,-9998,-9998,-9998,-9998,No Response,Never,Less than 1 time per week,No Response,No Response,No Response,No Response,No Response
2856,18,"$15,000 - $24,999",No Response,65 - 74,0,1.0,4,3,3,4,4,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,0,2,0,0,0,0,0,0,Never,No Response,Less than 1 time per week,Never,Never,About 1 time per week,Never,Never,4,1,0,2,1,0,1,0,No Response,No Response,2 - 3 times per week,No Response,No Response,Never,No Response,Never
2857,19,"$150,000 - $199,999","$200,000 or more",45 - 54,0,3.0,4,4,4,3,2,Less than 1 time per month,Never,Never,Never,Less than 1 time per month,Never,Never,Never,0,2,0,0,-9998,0,0,0,Never,No Response,Less than 1 time per month,Less than 1 time per month,No Response,Never,Never,Never,-9998,1,-9998,-9998,1,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2858,20,"$25,000 - $49,999",No Response,65 - 74,0,1.0,1,3,3,4,3,About 1 time per week,About 1 time per week,No Response,No Response,No Response,No Response,No Response,No Response,1,-9998,1,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,1,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2859,22,"$25,000 - $49,999","$75,000 - $99,999",25 - 34,0,3.0,1,1,1,1,1,Never,Never,Never,Never,Never,Never,Never,Never,2,2,-9998,2,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2860,23,"$25,000 - $49,999","$25,000 - $49,999",65 - 74,1,3.0,1,1,1,3,2,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,2,2,0,0,0,0,0,0,No Response,No Response,Never,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Never,0,0,0,0,0,0,0,0,Never,Almost never,Never,Almost never,Less than 1 time per month,Never,Never,Never
2861,24,Don't know,Don't know,25 - 34,0,3.0,5,5,4,2,1,Less than 1 time per month,Less than 1 time per week,Almost never,Less than 1 time per week,Less than 1 time per month,Almost never,Less than 1 time per week,About 1 time per week,0,2,2,2,-9998,-9998,-9998,2,About 1 time per week,No Response,No Response,No Response,No Response,No Response,No Response,No Response,-9998,1,1,1,-9998,-9998,-9998,1,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2862,25,"$200,000 or more","$200,000 or more",45 - 54,0,2.0,1,4,4,2,2,Almost never,Almost never,Almost never,Almost never,Less than 1 time per month,Almost never,Less than 1 time per month,Never,0,2,1,0,0,0,0,0,About 1 time per week,No Response,No Response,Almost never,Almost never,Almost never,Less than 1 time per month,Never,1,0,0,0,0,0,0,0,No Response,Almost never,Almost never,Less than 1 time per month,Almost never,Almost never,Almost never,Never
2863,26,"$100,000 - $149,999","$100,000 - $149,999",45 - 54,0,2.0,5,4,2,3,2,Never,Never,Less than 1 time per week,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Never,0,6,0,0,0,0,-9998,0,2 - 3 times per week,No Response,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,No Response,Never,0,0,0,0,0,0,1,0,Never,Almost never,Less than 1 time per month,Never,Less than 1 time per month,Never,No Response,Never
2864,27,"$75,000 - $99,999","$100,000 - $149,999",25 - 34,0,2.0,5,5,2,1,2,Less than 1 time per week,Never,Less than 1 time per week,Never,Less than 1 time per month,Almost never,Never,Never,0,2,0,0,0,0,2,0,Almost never,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,No Response,Never,1,0,0,0,0,0,1,0,No Response,Never,Less than 1 time per week,Never,Almost never,Almost never,No Response,Never
2865,28,"$100,000 - $149,999",No Response,55 - 59,0,1.0,5,5,5,4,5,About 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per week,Less than 1 time per week,Never,Never,Never,4,2,2,2,0,0,0,0,No Response,No Response,No Response,No Response,Less than 1 time per week,Almost never,Less than 1 time per month,Never,2,0,0,-9998,0,0,0,0,No Response,Less than 1 time per month,Less than 1 time per month,No Response,Less than 1 time per week,Almost never,Almost never,Never
2866,29,"$25,000 - $49,999","$50,000 - $74,999",25 - 34,2,4.0,4,4,4,2,2,2 - 3 times per week,About 1 time per week,Never,Almost never,Less than 1 time per month,Never,Never,Never,0,0,0,0,0,0,0,0,Less than 1 time per month,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Almost never,Never,Almost never,Never,2,1,1,0,0,0,0,0,No Response,No Response,No Response,Less than 1 time per month,Almost never,Never,Never,Never
2867,30,"$100,000 - $149,999",No Response,35 - 44,0,1.0,1,1,4,4,1,Less than 1 time per week,Never,Never,Never,Less than 1 time per month,Never,Never,Never,0,2,-9998,-9998,-9998,-9998,-9998,-9998,About 1 time per week,No Response,No Response,No Response,No Response,No Response,No Response,No Response,1,-9998,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2868,31,"$150,000 - $199,999","$150,000 - $199,999",75 - 84,0,2.0,1,3,3,5,5,Never,Never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,1,3,1,1,0,0,0,0,No Response,No Response,No Response,No Response,About 1 time per week,Almost never,Less than 1 time per month,Never,0,0,0,0,0,0,2,0,Never,Almost never,Never,Almost never,Less than 1 time per month,Less than 1 time per month,No Response,Never
2869,32,"$25,000 - $49,999",No Response,25 - 34,0,1.0,4,2,3,4,3,Never,Never,Almost never,Never,Less than 1 time per month,Never,Never,Almost never,2,2,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0,-9998,0,0,0,0,0,0,Never,No Response,Never,Never,Less than 1 time per month,Almost never,Never,Never
2870,33,"$50,000 - $74,999","$100,000 - $149,999",25 - 34,0,2.0,5,4,4,4,2,Less than 1 time per week,Less than 1 time per month,Almost never,Never,Less than 1 time per month,Almost never,Almost never,Never,2,1,1,0,0,0,0,0,No Response,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Almost never,Almost never,Never,2,0,0,-9998,1,0,0,0,No Response,Almost never,Never,No Response,No Response,Less than 1 time per month,Almost never,Never
2871,34,"$25,000 - $49,999","$75,000 - $99,999",45 - 54,0,2.0,5,4,5,5,3,Almost never,About 1 time per week,About 1 time per week,Less than 1 time per month,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Never,0,3,2,0,-9998,5,-9998,0,Less than 1 time per week,No Response,No Response,No Response,No Response,No Response,No Response,No Response,2,0,0,-9998,4,-9998,1,-9998,No Response,About 1 time per week,No Response,No Response,No Response,No Response,No Response,No Response
2872,35,"$75,000 - $99,999","$75,000 - $99,999",60 - 64,0,2.0,5,2,2,3,2,Less than 1 time per month,Almost never,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,0,0,0,0,0,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,0,2,0,0,0,0,1,0,Less than 1 time per week,No Response,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response,Almost never
2873,36,"$75,000 - $99,999",No Response,45 - 54,0,1.0,5,1,1,1,1,Less than 1 time per month,About 1 time per week,No Response,Less than 1 time per month,Less than 1 time per month,No Response,No Response,No Response,0,0,0,-9998,-9998,-9998,2,-9998,Less than 1 time per month,Almost never,Never,No Response,No Response,No Response,No Response,No Response,1,1,-9998,-9998,-9998,-9998,-9998,-9998,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
2874,37,"$75,000 - $99,999","$100,000 - $149,999",25 - 34,1,4.0,4,4,4,3,2,Less than 1 time per week,Almost never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,1,1,1,1,0,0,0,1,No Response,No Response,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,No Response,1,0,-9998,1,0,0,0,1,No Response,Almost never,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,No Response
