,Unnamed: 0,match_id,PersonalIncome,HouseholdIncome,age,numkids,NumberInHousehold,DoInStage23-ContactlessDoor,DoInStage23-CurbsidePickup,DoInStage23-InStorePickup,DoInStage23-VisitRetail,DoInStage23-VisitRestaurant,PastYear-ECommerce-Frequency-PreparedFood,PastYear-ECommerce-Frequency-Groceries,PastYear-ECommerce-Frequency-OtherFood,PastYear-ECommerce-Frequency-PaperCleaning,PastYear-ECommerce-Frequency-Clothing,PastYear-ECommerce-Frequency-HomeOffice,PastYear-ECommerce-Frequency-Medication,PastYear-ECommerce-Frequency-ChildcareItems,May-InStore-Trips-PreparedFood,May-InStore-Trips-Groceries,May-InStore-Trips-OtherFood,May-InStore-Trips-PaperCleaning,May-InStore-Trips-Clothing,May-InStore-Trips-HomeOffice,May-InStore-Trips-Medication,May-InStore-Trips-ChildcareItems,May-InStore-Frequency-PreparedFood,May-InStore-Frequency-Groceries,May-InStore-Frequency-OtherFood,May-InStore-Frequency-PaperCleaning,May-InStore-Frequency-Clothing,May-InStore-Frequency-HomeOffice,May-InStore-Frequency-Medication,May-InStore-Frequency-ChildcareItems,May-ECommerce-Orders-PreparedFood,May-ECommerce-Orders-Groceries,May-ECommerce-Orders-OtherFood,May-ECommerce-Orders-PaperCleaning,May-ECommerce-Orders-Clothing,May-ECommerce-Orders-HomeOffice,May-ECommerce-Orders-Medication,May-ECommerce-Orders-ChildcareItems,May-ECommerce-Frequency-PreparedFood,May-ECommerce-Frequency-Groceries,May-ECommerce-Frequency-OtherFood,May-ECommerce-Frequency-PaperCleaning,May-ECommerce-Frequency-Clothing,May-ECommerce-Frequency-HomeOffice,May-ECommerce-Frequency-Medication,May-ECommerce-Frequency-ChildcareItems,PastYear-Orders-PreparedFood,May-Trips-PreparedFood,May-Orders-PreparedFood,May-Total-PreparedFood,May-Portion-EPreparedFood,PastYear-Orders-Groceries,May-Trips-Groceries,May-Orders-Groceries,May-Total-Groceries,May-Portion-EGroceries,PastYear-Orders-OtherFood,May-Trips-OtherFood,May-Orders-OtherFood,May-Total-OtherFood,May-Portion-EOtherFood,PastYear-Orders-PaperCleaning,May-Trips-PaperCleaning,May-Orders-PaperCleaning,May-Total-PaperCleaning,May-Portion-EPaperCleaning,PastYear-Orders-Clothing,May-Trips-Clothing,May-Orders-Clothing,May-Total-Clothing,May-Portion-EClothing,PastYear-Orders-HomeOffice,May-Trips-HomeOffice,May-Orders-HomeOffice,May-Total-HomeOffice,May-Portion-EHomeOffice,PastYear-Orders-Medication,May-Trips-Medication,May-Orders-Medication,May-Total-Medication,May-Portion-EMedication,PastYear-Orders-ChildcareItems,May-Trips-ChildcareItems,May-Orders-ChildcareItems,May-Total-ChildcareItems,May-Portion-EChildcareItems,incomelevel,ageLevel,label,past_label
0,2838,0,"$25,000 - $49,999","$25,000 - $49,999",25 - 34,0,2.0,4,4,4,4,4,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,Never,Never,Never,0,2,0,0,0,0,1,0,Less than 1 time per week,No Response,Almost never,Less than 1 time per week,Less than 1 time per week,Almost never,No Response,Almost never,0,2,0,0,0,0,1,0,Less than 1 time per week,No Response,No Response,No Response,No Response,No Response,No Response,No Response,0.25,0.5,0.5,1.0,0.5,0.25,1.0,2.0,3.0,0.6666666666666666,0.25,0.0,0.0,0.0,,0.25,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,1.0,1.5,0.6666666666666666,0.0,0.0,0.0,0.0,,Low income,Gen Y & Z,Partially ECommerce,ECommerce Independent
1,2839,1,"$50,000 - $74,999","$50,000 - $74,999",55 - 59,0,1.0,5,1,3,5,3,About 1 time per week,Almost never,Never,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Less than 1 time per week,Never,2,1,0,0,0,0,1,0,No Response,No Response,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,No Response,Never,0,0,0,0,1,0,1,0,Almost never,Almost never,Almost never,Almost never,No Response,Less than 1 time per month,No Response,Never,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.25,0.5,0.0,0.5,0.0,0.25,0.25,1.0,1.25,0.8,0.25,0.25,0.25,0.5,0.5,0.5,0.5,1.0,1.5,0.6666666666666666,0.0,0.0,0.0,0.0,,Medium income,Baby Boomer and Older,ENonFood,ENonFood & EPrepFood
2,2840,2,"$10,000 - $14,999","$10,000 - $14,999",55 - 59,0,1.0,3,3,3,3,3,Never,Never,Never,Never,Never,Never,Never,Never,0,6,0,0,0,0,6,0,Never,No Response,Never,About 1 time per week,Less than 1 time per week,About 1 time per week,No Response,Never,0,0,0,0,0,0,0,0,Never,Never,Never,Never,Never,Never,Never,Never,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,Low income,Baby Boomer and Older,ECommerce Independent,ECommerce Independent
3,2841,3,"$100,000 - $149,999","$100,000 - $149,999",45 - 54,2,4.0,5,5,5,5,5,About 1 time per week,Never,Never,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Less than 1 time per week,Never,4,2,0,2,0,0,2,0,No Response,No Response,Less than 1 time per week,No Response,Less than 1 time per week,Less than 1 time per week,No Response,Never,2,0,0,0,0,2,2,0,No Response,Almost never,Never,Less than 1 time per month,Less than 1 time per month,No Response,No Response,Never,1.0,2.0,2.0,4.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,1.0,0.25,1.25,0.2,0.5,0.5,0.25,0.75,0.3333333333333333,0.5,0.5,2.0,2.5,0.8,0.5,1.0,2.0,3.0,0.6666666666666666,0.0,0.0,0.0,0.0,,High income,Gen X,ENonFood & EPrepFood,ENonFood & EPrepFood
4,2842,4,"$100,000 - $149,999","$100,000 - $149,999",25 - 34,0,2.0,5,5,4,2,2,Less than 1 time per month,Never,Never,Never,Less than 1 time per month,Almost never,Less than 1 time per month,Never,2,1,0,0,0,0,0,0,No Response,No Response,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Never,2,0,0,0,0,0,1,0,No Response,Never,Never,Never,Never,Never,No Response,Never,0.25,1.0,2.0,3.0,0.6666666666666666,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,,0.25,0.25,1.0,1.25,0.8,0.0,0.0,0.0,0.0,,High income,Gen Y & Z,ENonFood & EPrepFood,ECommerce Independent
5,2843,5,"$100,000 - $149,999","$100,000 - $149,999",25 - 34,0,1.0,2,2,1,5,5,About 1 time per week,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per month,Never,2,2,0,0,0,0,0,0,No Response,No Response,Almost never,Less than 1 time per week,Never,Never,Less than 1 time per week,Never,0,0,0,0,0,0,0,0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,,0.25,0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,High income,Gen Y & Z,ECommerce Independent,Partially ECommerce
6,2844,6,"$100,000 - $149,999","$100,000 - $149,999",55 - 59,0,2.0,5,5,5,2,2,Less than 1 time per month,Less than 1 time per month,Almost never,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,Never,Never,0,0,0,0,0,0,0,0,About 1 time per week,About 1 time per week,Almost never,About 1 time per week,Less than 1 time per month,Less than 1 time per month,Almost never,Never,0,1,0,1,0,0,0,0,About 1 time per week,No Response,Almost never,No Response,Less than 1 time per month,Less than 1 time per month,Never,Never,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,,0.5,1.0,1.0,2.0,0.5,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,High income,Baby Boomer and Older,Partially ECommerce,ECommerce Independent
7,2845,7,"$10,000 - $14,999","$75,000 - $99,999",25 - 34,1,4.0,5,4,2,2,2,Less than 1 time per week,Almost never,Almost never,Never,Almost never,Never,Never,Almost never,0,2,0,0,0,0,2,0,About 1 time per week,No Response,Almost never,Less than 1 time per month,Less than 1 time per month,Almost never,No Response,About 1 time per week,1,0,0,0,0,0,0,2,No Response,Never,Never,Almost never,Almost never,Never,Never,No Response,0.5,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.6666666666666666,Medium income,Gen Y & Z,ECommerce Independent,ECommerce Independent
8,2846,8,"$100,000 - $149,999","$150,000 - $199,999",45 - 54,2,4.0,2,2,2,2,2,Less than 1 time per week,Less than 1 time per week,Less than 1 time per month,Less than 1 time per month,About 1 time per week,Less than 1 time per week,About 1 time per week,Less than 1 time per month,2,2,0,2,0,0,2,0,No Response,No Response,About 1 time per week,No Response,About 1 time per week,No Response,No Response,Less than 1 time per month,1,0,0,0,0,0,1,0,No Response,About 1 time per week,About 1 time per week,Less than 1 time per week,About 1 time per week,About 1 time per week,No Response,Less than 1 time per month,0.5,1.0,1.0,2.0,0.5,0.5,1.0,1.0,2.0,0.5,0.25,1.0,1.0,2.0,0.5,0.25,1.0,0.5,1.5,0.3333333333333333,1.0,1.0,1.0,2.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.25,0.25,0.5,0.5,High income,Gen X,Partially ECommerce,ENonFood
9,2847,9,Prefer not to answer,Prefer not to answer,65 - 74,0,1.0,4,4,3,3,3,Never,Never,Never,Almost never,Never,Less than 1 time per month,Never,Never,0,2,0,4,0,0,0,0,No Response,No Response,No Response,No Response,Less than 1 time per month,Less than 1 time per month,Less than 1 time per month,Never,1,0,2,0,0,1,0,0,No Response,Less than 1 time per week,No Response,Less than 1 time per month,Almost never,No Response,Never,Never,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,1.5,0.3333333333333333,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.25,2.25,0.1111111111111111,0.0,0.25,0.0,0.25,0.0,0.25,0.25,1.0,1.25,0.8,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,,Unknown,Baby Boomer and Older,Partially ECommerce,ECommerce Independent
